kind,region_group,source_filename,bytes,width,height,pixels,dtype,nodata,crs,resolution_x,resolution_y,left,bottom,right,top,block_y,block_x,tiled,compression,overview_factors,transform
mukey,marshall_is,muraster_30m_Marshall_Is_2026.tif,451470,2715,9728,26411520,uint32,0.0,EPSG:4326,0.00027131,0.00027131,171.02717690499998,6.073138695000001,171.76378355499997,8.712442375,1,2715,false,deflate,"2,4,8,16,32","0.00027131,0.0,171.02717690499998,0.0,-0.00027131,8.712442375"
survey_area,marshall_is,SARASTER_30m_MH_2026.tif,600722,2715,9728,26411520,uint16,65535.0,EPSG:4326,0.00027130999999999954,0.0002713099999999996,171.02717690499998,6.073138695000004,171.76378355499997,8.712442375,128,128,true,lzw,"2,4,8","0.00027130999999999954,0.0,171.02717690499998,0.0,-0.0002713099999999996,8.712442375"
mukey,mexico,muraster_30m_Mexico.tif,25054,370,451,166870,uint32,0.0,EPSG:5070,30.0,30.0,-486045.0,458355.0,-474945.0,471885.0,5,370,false,deflate,"","30.0,0.0,-486045.0,0.0,-30.0,471885.0"
survey_area,mexico,SARASTER_30m_MX_2026.tif,15923,370,451,166870,uint16,65535.0,EPSG:5070,30.0,30.0,-486045.0,458355.0,-474945.0,471885.0,128,128,true,lzw,"","30.0,0.0,-486045.0,0.0,-30.0,471885.0"
mukey,northern_mariana_is,muraster_30m_Northern_Mariana_Is_2026.tif,957622,2694,17333,46695102,uint32,0.0,EPSG:4326,0.00027131,0.00027131,145.12141286499997,14.110697444999996,145.85232200499996,18.813313674999996,1,2694,false,deflate,"2,4,8,16,32","0.00027131,0.0,145.12141286499997,0.0,-0.00027131,18.813313674999996"
survey_area,northern_mariana_is,SARASTER_30m_MP_2026.tif,1082355,2694,17333,46695102,uint16,65535.0,EPSG:4326,0.00027130999999999786,0.00027130999999999786,145.12141286499997,14.110697444999998,145.85232200499996,18.81331367499996,128,128,true,lzw,"2,4,8","0.00027130999999999786,0.0,145.12141286499997,0.0,-0.00027130999999999786,18.81331367499996"
mukey,palau,muraster_30m_Palau_2026.tif,1931274,13272,18879,250562088,uint32,0.0,EPSG:4326,0.00027131,0.00027131,131.120189005,2.9720653950000004,134.721015325,8.094126885,1,13272,false,deflate,"2,4,8,16,32","0.00027131,0.0,131.120189005,0.0,-0.00027131,8.094126885"
survey_area,palau,SARASTER_30m_PW_2026.tif,5176222,13272,18879,250562088,uint16,65535.0,EPSG:4326,0.0002713100000000008,0.0002713100000000008,131.120189005,2.972065394999997,134.721015325,8.094126885000012,128,128,true,lzw,"2,4,8,16","0.0002713100000000008,0.0,131.120189005,0.0,-0.0002713100000000008,8.094126885000012"
mukey,puerto_rico,muraster_30m_Puerto_Rico_2026.tif,2321675,9978,2721,27150138,uint32,0.0,EPSG:32161,30.0,30.0,34335.0,199815.0,333675.0,281445.0,1,9978,false,deflate,"2,4,8,16,32,64,128","30.0,0.0,34335.0,0.0,-30.0,281445.0"
survey_area,puerto_rico,SARASTER_30m_PR_2026.tif,1098869,9978,2721,27150138,uint16,65535.0,EPSG:32161,30.0,30.0,34335.0,199815.0,333675.0,281445.0,128,128,true,lzw,"2,4,8","30.0,0.0,34335.0,0.0,-30.0,281445.0"
mukey,virgin_is,muraster_30m_Virgin_Is_2026.tif,316273,2280,3104,7077120,uint32,0.0,EPSG:32161,30.0,30.0,335265.0,177465.0,403665.0,270585.0,1,2280,false,deflate,"2,4,8,16,32","30.0,0.0,335265.0,0.0,-30.0,270585.0"
survey_area,virgin_is,SARASTER_30m_VI_2026.tif,548197,2280,3104,7077120,int32,-2147483647.0,EPSG:32161,30.0,30.0,335265.0,177465.0,403665.0,270585.0,128,128,true,lzw,"","30.0,0.0,335265.0,0.0,-30.0,270585.0"
