attributekey,attributename,attributetablename,attributecolumnname,attributelogicaldatatype,effectivelogicaldatatype,attributeuom,attributetype,mapunitlevelattribflag,complevelattribflag,cmonthlevelattribflag,horzlevelattribflag,algorithmname,componentpercentcutoff,tiebreakrule,tiebreaklowlabel,tiebreakhighlabel,depthqualifiermode,layerdepthtotop,layerdepthtobottom,beginningmonth,endingmonth,interpnullsaszeroflag,nullratingreplacementvalue
2892,Aspen Productivity Index (MN),cointerp,interphrc,String,Float,,Interpretation,0,1,0,0,Weighted Average,,1,,,,,,,,0,
620,Avocado Root Rot Hazard (CA),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
106,Bivouac Areas,cointerp,interphrc,string,string,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2816,Black Walnut Suitability (WV),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
314,Black Walnut Suitability Index (MO),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,-1,,,,,,,,0,
2867,Black Walnut Suitability Index (WI),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2914,Brush Management (314),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
282,Burrowing Mammals and Reptiles (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2720,CMECS Substrate Class,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2721,CMECS Substrate Origin,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2722,CMECS Substrate Subclass,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2723,CMECS Substrate Subclass-Group,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2724,CMECS Substrate Subclass-Group-Subgroup,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2886,Cacao Suitability,cointerp,interphrc,String,Float,,Interpretation,0,1,0,0,Weighted Average,,1,,,,,,,,0,
194,California Revised Storie Index (CA),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,-1,,,,,,,,0,
3,Camp Areas,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
318,Camp Areas (GA),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
373,Camp Areas (MI),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
174,Camp Areas (OH),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2856,Camp Areas; Primitive (AK),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2855,Camp and Picnic Areas (AK),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
590,Capping Fill Gravity Septic System (DE),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2761,"Catastrophic Event, Large Animal Mortality, Burial",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2760,"Catastrophic Event, Large Animal Mortality, Incinerate",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
232,"Catastrophic Mortality, Large Animal Disposal, Pit",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
233,"Catastrophic Mortality, Large Animal Disposal, Trench",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
445,Chaining Suitability,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
510,Chufa Cultivation for Wildlife Forage (LA),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
278,Clay Liner Material Source,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2703,Closed-loop Horizontal Geothermal Heat Pump (CT),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Component,,1,,,,,,,,0,
2887,Coffee Suitability,cointerp,interphrc,String,Float,,Interpretation,0,1,0,0,Weighted Average,,1,,,,,,,,0,
377,Cohesive Soil Liner  (MN),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,-1,,,,,,,,0,
618,Commodity Crop Productivity Index (Corn) (TN),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2657,Commodity Crop Productivity Index (Corn) (WI),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
619,Commodity Crop Productivity Index (Soybeans) (TN),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,-1,,,,,,,,0,
2650,Compaction Potential (WA),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
276,Composting Facility - Subsurface,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
277,Composting Facility - Surface,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
279,Composting Medium and Final Cover,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
486,Concrete Driveways and Sidewalks (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
227,Construction Limitation for Haul Roads and Log Landings (OH),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2670,Construction Limitations for Haul Roads  Log Landings (ME),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Component,,1,,,,,,,,0,
26,Construction Limitations for Haul Roads and Log Landings,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
528,Conventional On-Site Septic Systems (TN),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
343,Conventional Tillage (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Component,,1,,,,,,,,0,
2916,Cover Crop (340),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
283,Crawfish Aquaculture (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
103,Daily Cover for Landfill,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2864,Daily Cover for Landfill (AK),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
178,Daily Cover for Landfill (OH),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2695,Deep Infiltration Systems,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2676,Desert Tortoise (CA),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
284,Desertic Herbaceous Plants (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2652,Displacement Potential (WA),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
78,Disposal of Wastewater by Irrigation,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
336,Disposal of Wastewater by Irrigation (MD),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
257,Disposal of Wastewater by Irrigation (OH),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
407,Disposal of Wastewater by Irrigation (VT),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
57,Disposal of Wastewater by Rapid Infiltration,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
348,Disposal of Wastewater by Rapid Infiltration (MD),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
409,Disposal of Wastewater by Rapid Infiltration (VT),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
152,"Domestic Grasses and Legumes, Food and Cover (TX)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
261,Drainage (OH),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2834,Drought Vulnerable Soils,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
488,Dwellings On Concrete Slab (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
80,Dwellings With Basements,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
159,Dwellings With Basements (OH),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
487,Dwellings With Basements (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
69,Dwellings Without Basements,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
158,Dwellings Without Basements (OH),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2835,Dynamic Soil Properties Response to Biochar,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2715,Eastern Oyster Habitat Restoration Suitability,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2716,Eelgrass Restoration Suitability,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
592,Elevated Sand Mound Septic System (DE),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
30,"Embankments, Dikes, and Levees",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
259,"Embankments, Dikes, and Levees (OH)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
406,"Embankments, Dikes, and Levees (VT)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2797,Emergency Disposal by Shallow Burial,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Component,,1,,,,,,,,0,
2840,Emergency Land Application of Milk,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
85,"Erosion Hazard (Off-Road, Off-Trail)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
376,"Erosion Hazard (Off-Road, Off-Trail) (MI)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
254,"Erosion Hazard (Off-Road, Off-Trail) (OH)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
92,"Erosion Hazard (Road, Trail)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
72,Excavated Ponds (Aquifer-Fed),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
260,Excavated Ponds (Aquifer-fed) (OH),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
107,Excavations for Crew-Served Weapon Fighting Positions,cointerp,interphrc,string,string,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
108,Excavations for Individual Fighting Positions,cointerp,interphrc,string,string,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
109,Excavations for Vehicle Fighting Positions,cointerp,interphrc,string,string,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
544,Excavations to 24 inches for Plastic Pipelines (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2712,Farm and Garden Composting Facility - Surface,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
446,Fencing,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
630,"Fencing, Post Depth 24 Inches or Less",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
631,"Fencing, Post Depth 36 Inches or Less",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
545,"Fencing, Post Depth Less Than 24 inches (TX)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
546,"Fencing, Post Depth Less Than 36 inches (TX)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
225,Filter Strips (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
447,Fire Damage Susceptibility,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2857,Foot and All-Terrain Vehicle Trails (AK),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2682,Fragile Soil Index,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
285,Freshwater Wetland Plants (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
448,Fugitive Dust Resistance,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2767,General Harvest Season (ME),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Component,,1,,,,,,,,0,
357,Golf Fairways (OH),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
286,Grain and Seed Crops for Food and Cover (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2656,Grape non-irrigated (MO),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
262,Grassed Waterways (OH),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
508,Grassed Waterways (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
22,Gravel Source,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2860,Gravel Source (AK),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
139,Gravel Source (ID),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
192,Gravel Source (IN),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
423,Gravel Source (MI),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
223,Gravel Source (MN),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
221,Gravel Source (NY),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
164,Gravel Source (OH),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
140,Gravel Source (OR),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
403,Gravel Source (VT),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
141,Gravel Source (WA),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
589,Gravity Full Depth Septic System (DE),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
632,Ground Penetrating Radar Penetration,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2885,Guineagrass Suitability,cointerp,interphrc,String,Float,,Interpretation,0,1,0,0,Weighted Average,,1,,,,,,,,0,
39,Harvest Equipment Operability,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
353,Harvest Equipment Operability (MD),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2664,Harvest Equipment Operability (ME),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
362,Harvest Equipment Operability (MI),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
251,Harvest Equipment Operability (OH),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
415,Harvest Equipment Operability (VT),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2915,Heavy Use Area Protection (561),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
110,Helicopter Landing Zones,cointerp,interphrc,string,string,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2661,Hops Site Suitability (WA),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2920,Hybrid Wine Grape Varieties Site Suitability (Long),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2921,Hybrid Wine Grape Varieties Site Suitability (Medium),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2922,Hybrid Wine Grape Varieties Site Suitability (Short),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2672,ISDH Septic Tank Absorption Field (IN),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2825,"Infiltration Systems, Deep",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2826,"Infiltration Systems, Shallow",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2707,Inland Wetlands (CT),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Component,,1,,,,,,,,0,
287,Irr Domestic Grasses and Legumes for Food and Cover (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
153,Irrigated Freshwater Wetland Plants (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
289,Irrigated Grain and Seed Crops for Food and Cover (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
290,Irrigated Saline Water Wetland Plants (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2882,Irrigation Suitability (NM),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
386,"Irrigation, General",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
387,"Irrigation, Micro (Above Ground)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
388,"Irrigation, Micro (Subsurface Drip)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
474,"Irrigation, Micro (above ground) (VT)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
475,"Irrigation, Micro (subsurface drip) (VT)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
476,"Irrigation, Sprinkler  (VT)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
389,"Irrigation, Sprinkler (Close Spaced Drops)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
390,"Irrigation, Sprinkler (General)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
391,"Irrigation, Surface (Graded)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
392,"Irrigation, Surface (Level)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2683,Juniper Encroachment Potential (NM),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
496,Land Application of Manure (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2843,Land Application of Milk (CT),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
511,"Land Application of Municipal Biosolids, spring (OR)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
513,"Land Application of Municipal Biosolids, summer (OR)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
512,"Land Application of Municipal Biosolids, winter, (OR)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
17,Land Application of Municipal Sewage Sludge,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
337,Land Application of Municipal Sewage Sludge (MD),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
255,Land Application of Municipal Sewage Sludge (OH),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
226,Land Application of Municipal Sewage Sludge (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
412,Land Application of Municipal Sewage Sludge (VT),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2714,Land Utilization of Dredged Materials,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2704,"Large Animal Disposal, Pit (CT)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Component,,1,,,,,,,,0,
473,"Large Animal Disposal, Pit (MN)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2705,"Large Animal Disposal, Trench (CT)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Component,,1,,,,,,,,0,
393,Lawns and Landscaping (OH),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
490,Lawns and Ornamental Plantings (TX),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
40,"Lawns, Landscaping, and Golf Fairways",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
360,"Lawns, Landscaping, and Golf Fairways (MI)",cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2842,Limitations for Aerobic Soil Organisms,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2696,Lined Retention Systems,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
93,Local Roads and Streets,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
317,Local Roads and Streets (GA),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
168,Local Roads and Streets (OH),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
2888,Longleaf Pine Suitability,cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Component,,1,,,,,,,,0,
591,Low Pressure Pipe Septic System (DE),cointerp,interphrc,String,String,,Interpretation,0,1,0,0,Dominant Condition,,1,,,,,,,,0,
