table_name,label,rows,columns,plan_group,join_path,cardinality,output_dimensions,rasterization,priority
coecoclass,Component Ecological Classification,1232616,6,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
coeplants,Component Existing Plants,4514608,7,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
coerosionacc,Component Erosion Accelerated,225227,4,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
coforprod,Component Forest Productivity,1595342,12,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
coforprodo,Component Forest Productivity - Other,17593,10,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
cogeomordesc,Component Geomorphic Description,2241554,8,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
cohydriccriteria,Component Hydric Criteria,284537,3,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
copm,Component Parent Material,1480378,7,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
copmgrp,Component Parent Material Group,996510,4,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
copwindbreak,Component Potential Windbreak,5645624,8,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
corestrictions,Component Restrictions,362332,13,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
cosurffrags,Component Surface Fragments,318912,15,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
cosurfmorphgc,Component Three Dimensional Surface Morphometry,1034256,6,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
cosurfmorphhpp,Component Two Dimensional Surface Morphometry,964503,3,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
cosurfmorphmr,Component Microrelief Surface Morphometry,35494,3,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
cosurfmorphss,Component Slope Shape Surface Morphometry,1413883,4,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
cotaxfmmin,Component Taxonomic Family Mineralogy,975431,3,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
cotaxmoistcl,Component Taxonomic Moisture Class,712737,3,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
cotext,Component Text,1815390,7,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
cotreestomng,Component Trees To Manage,1771346,5,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
cotxfmother,Component Taxonomic Family Other Criteria,886044,3,dimensioned_component,mukey -> component -> child table,multiple components and child categories,"(category[, statistic], y, x) or lookup",select representative rows or preserve explicit category,3
muaoverlap,Mapunit Area Overlap,1646526,4,dimensioned_map_unit,mukey,multiple text/crop/overlap rows per mukey,"(category, y, x) or lookup",preserve a named category or define aggregation,3
mucropyld,Mapunit Crop Yield,467258,10,dimensioned_map_unit,mukey,multiple text/crop/overlap rows per mukey,"(category, y, x) or lookup",preserve a named category or define aggregation,3
mutext,Mapunit Text,183168,7,dimensioned_map_unit,mukey,multiple text/crop/overlap rows per mukey,"(category, y, x) or lookup",preserve a named category or define aggregation,3
laoverlap,Legend Area Overlap,26973,6,dimensioned_survey_area,survey_area_id/areasymbol/lkey,multiple text/overlap/interpretation records,"lookup or selected (category, y, x)",keep as survey dictionary unless a specific category is queried,4
legendtext,Legend Text,960,7,dimensioned_survey_area,survey_area_id/areasymbol/lkey,multiple text/overlap/interpretation records,"lookup or selected (category, y, x)",keep as survey dictionary unless a specific category is queried,4
sainterp,Survey Area Interpretation,480016,9,dimensioned_survey_area,survey_area_id/areasymbol/lkey,multiple text/overlap/interpretation records,"lookup or selected (category, y, x)",keep as survey dictionary unless a specific category is queried,4
